set,iteration,row_id
train,1,4
train,1,9
train,1,10
train,1,12
train,1,14
train,1,17
train,1,19
train,1,23
train,1,24
train,1,28
train,1,30
train,1,33
train,1,34
train,1,44
train,1,48
train,1,50
train,1,59
train,1,64
train,1,71
train,1,72
train,1,75
train,1,91
train,1,96
train,1,105
train,1,130
train,1,132
train,1,133
train,1,150
train,1,161
train,1,170
train,1,171
train,1,180
train,1,181
train,1,191
train,1,207
train,1,210
train,1,213
train,1,214
train,1,216
train,1,221
train,1,222
train,1,231
train,1,241
train,1,242
train,1,244
train,1,247
train,1,251
train,1,258
train,1,265
train,1,271
train,1,272
train,1,280
train,1,283
train,1,290
train,1,294
train,1,299
train,1,300
train,1,312
train,1,313
train,1,328
train,1,336
train,1,337
train,1,340
train,1,345
train,1,352
train,1,358
train,1,361
train,1,365
train,1,369
train,1,371
train,1,373
train,1,378
train,1,379
train,1,383
train,1,385
train,1,416
train,1,422
train,1,425
train,1,436
train,1,442
train,1,454
train,1,456
train,1,458
train,1,462
train,1,463
train,1,468
train,1,470
train,1,472
train,1,481
train,1,483
train,1,485
train,1,488
train,1,494
train,1,498
train,1,499
train,1,501
train,1,505
train,1,509
train,1,512
train,1,519
train,1,523
train,1,534
train,1,544
train,1,557
train,1,562
train,1,570
train,1,574
train,1,578
train,1,582
train,1,588
train,1,595
train,1,621
train,1,624
train,1,626
train,1,628
train,1,631
train,1,635
train,1,640
train,1,641
train,1,649
train,1,656
train,1,658
train,1,668
train,1,673
train,1,676
train,1,681
train,1,696
train,1,697
train,1,698
train,1,705
train,1,715
train,1,717
train,1,720
train,1,723
train,1,727
train,1,728
train,1,742
train,1,744
train,1,746
train,1,747
train,1,752
train,1,754
train,1,755
train,1,757
train,1,764
train,1,765
train,1,767
train,1,770
train,1,776
train,1,777
train,1,785
train,1,786
train,1,798
train,1,801
train,1,802
train,1,811
train,1,816
train,1,819
train,1,823
train,1,847
train,1,854
train,1,855
train,1,862
train,1,866
train,1,868
train,1,870
train,1,877
train,1,885
train,1,888
train,1,889
train,1,895
train,1,896
train,1,901
train,1,903
train,1,905
train,1,907
train,1,911
train,1,912
train,1,915
train,1,930
train,1,935
train,1,938
train,1,940
train,1,942
train,1,946
train,1,953
train,1,958
train,1,972
train,1,980
train,1,982
train,1,985
train,1,989
train,1,999
train,1,1000
train,1,1005
train,1,1006
train,1,1007
train,1,1008
train,1,1021
train,1,1022
train,1,1031
train,1,1039
train,1,1044
train,1,1045
train,1,1048
train,1,1051
train,1,1055
train,1,1057
train,1,1072
train,1,1079
train,1,1082
train,1,1088
train,1,1094
train,1,1113
train,1,1114
train,1,1116
train,1,1117
train,1,1120
train,1,1127
train,1,1134
train,1,1135
train,1,1136
train,1,1137
train,1,1139
train,1,1144
train,1,1147
train,1,1149
train,1,1154
train,1,1158
train,1,1163
train,1,1166
train,1,1168
train,1,1169
train,1,1173
train,1,1178
train,1,1179
train,1,1184
train,1,1186
train,1,1187
train,1,1201
train,1,1202
train,1,1203
train,1,1216
train,1,1218
train,1,1222
train,1,1227
train,1,1231
train,1,1234
train,1,1235
train,1,1240
train,1,1241
train,1,1242
train,1,1265
train,1,1268
train,1,1276
train,1,1277
train,1,1278
train,1,1297
train,1,1298
train,1,1300
train,1,1304
train,1,1307
train,1,1315
train,1,1323
train,1,1325
train,1,1327
train,1,1336
train,1,1342
train,1,1343
train,1,1345
train,1,1346
train,1,1347
train,1,1348
train,1,1350
train,1,1351
train,1,1354
train,1,1357
train,1,1365
train,1,1367
train,1,1373
train,1,1382
train,1,1387
train,1,1403
train,1,1408
train,1,1418
train,1,1440
train,1,1444
train,1,1447
train,1,1450
train,1,1453
train,1,1472
train,1,1479
train,1,1481
train,1,1483
train,1,1488
train,1,1489
train,1,1490
train,1,1496
train,1,1506
train,1,1509
train,1,1510
train,1,1511
train,1,1512
train,1,1513
train,1,1515
train,1,1519
train,1,1521
train,1,1523
train,1,1525
train,1,1527
train,1,1534
train,1,1546
train,1,1548
train,1,1549
train,1,1564
train,1,1565
train,1,1566
train,1,1570
train,1,1572
train,1,1573
train,1,1578
train,1,1583
train,1,1590
train,1,1599
train,1,1602
train,1,1611
train,1,1613
train,1,1618
train,1,1619
train,1,1620
train,1,1622
train,1,1632
train,1,1634
train,1,1640
train,1,1643
train,1,1644
train,1,1645
train,1,1647
train,1,1650
train,1,1652
train,1,1653
train,1,1654
train,1,1657
train,1,1665
train,1,1668
train,1,1673
train,1,1674
train,1,1677
train,1,1687
train,1,1691
train,1,1706
train,1,1714
train,1,1726
train,1,1733
train,1,1734
train,1,1736
train,1,1737
train,1,1739
train,1,1741
train,1,1743
train,1,1751
train,1,1753
train,1,1761
train,1,1766
train,1,1767
train,1,1769
train,1,1770
train,1,1785
train,1,1788
train,1,1789
train,1,1792
train,1,1795
train,1,1798
train,1,1802
train,1,1812
train,1,1814
train,1,1819
train,1,1829
train,1,1832
train,1,1834
train,1,1838
train,1,1842
train,1,1845
train,1,1847
train,1,1853
train,1,1854
train,1,1855
train,1,1862
train,1,1863
train,1,1864
train,1,1865
train,1,1870
train,1,1871
train,1,1877
train,1,1885
train,1,1889
train,1,1890
train,1,1892
train,1,1894
train,1,1897
train,1,1898
train,1,1899
train,1,1909
train,1,1910
train,1,1913
train,1,1918
train,1,1921
train,1,1922
train,1,1926
train,1,1927
train,1,1928
train,1,1937
train,1,1941
train,1,1942
train,1,1951
train,1,1952
train,1,1958
train,1,1959
train,1,1960
train,1,1965
train,1,1974
train,1,1975
train,1,1979
train,1,1982
train,1,1985
train,1,1995
train,1,1998
train,1,2004
train,1,2006
train,1,2007
train,1,2018
train,1,2023
train,1,2026
train,1,2032
train,1,2035
train,1,2039
train,1,2047
train,1,2048
train,1,2049
train,1,2054
train,1,2064
train,1,2066
train,1,2071
train,1,2076
train,1,2086
train,1,2089
train,1,2099
train,1,2111
train,1,2117
train,1,2118
train,1,2124
train,1,2125
train,1,2132
train,1,2142
train,1,2152
train,1,2159
train,1,2161
train,1,2164
train,1,2165
train,1,2172
train,1,2173
train,1,2178
train,1,2179
train,1,2186
train,1,2188
train,1,2189
train,1,2192
train,1,2198
train,1,2201
train,1,2202
train,1,2223
train,1,2226
train,1,2227
train,1,2229
train,1,2230
train,1,2232
train,1,2242
train,1,2246
train,1,8
train,1,13
train,1,36
train,1,40
train,1,41
train,1,46
train,1,57
train,1,62
train,1,65
train,1,66
train,1,81
train,1,93
train,1,94
train,1,103
train,1,115
train,1,116
train,1,124
train,1,125
train,1,129
train,1,134
train,1,136
train,1,140
train,1,142
train,1,149
train,1,151
train,1,152
train,1,154
train,1,155
train,1,159
train,1,176
train,1,183
train,1,187
train,1,190
train,1,192
train,1,193
train,1,203
train,1,205
train,1,217
train,1,225
train,1,227
train,1,228
train,1,233
train,1,236
train,1,239
train,1,248
train,1,252
train,1,253
train,1,256
train,1,260
train,1,266
train,1,281
train,1,292
train,1,297
train,1,315
train,1,322
train,1,323
train,1,342
train,1,344
train,1,346
train,1,347
train,1,367
train,1,377
train,1,381
train,1,382
train,1,386
train,1,394
train,1,395
train,1,400
train,1,402
train,1,404
train,1,405
train,1,423
train,1,427
train,1,444
train,1,448
train,1,475
train,1,477
train,1,482
train,1,489
train,1,495
train,1,496
train,1,497
train,1,503
train,1,516
train,1,522
train,1,528
train,1,532
train,1,537
train,1,553
train,1,558
train,1,573
train,1,575
train,1,576
train,1,585
train,1,587
train,1,589
train,1,597
train,1,601
train,1,610
train,1,611
train,1,614
train,1,619
train,1,632
train,1,655
train,1,670
train,1,671
train,1,694
train,1,701
train,1,711
train,1,714
train,1,718
train,1,721
train,1,729
train,1,738
train,1,741
train,1,759
train,1,769
train,1,771
train,1,783
train,1,789
train,1,791
train,1,797
train,1,804
train,1,826
train,1,836
train,1,837
train,1,838
train,1,843
train,1,856
train,1,858
train,1,861
train,1,883
train,1,894
train,1,908
train,1,909
train,1,914
train,1,918
train,1,922
train,1,923
train,1,931
train,1,933
train,1,952
train,1,954
train,1,957
train,1,961
train,1,962
train,1,964
train,1,969
train,1,973
train,1,996
train,1,997
train,1,1002
train,1,1003
train,1,1009
train,1,1010
train,1,1030
train,1,1040
train,1,1058
train,1,1085
train,1,1091
train,1,1109
train,1,1122
train,1,1133
train,1,1153
train,1,1156
train,1,1180
train,1,1183
train,1,1191
train,1,1196
train,1,1197
train,1,1204
train,1,1209
train,1,1213
train,1,1229
train,1,1236
train,1,1243
train,1,1245
train,1,1251
train,1,1254
train,1,1256
train,1,1257
train,1,1260
train,1,1267
train,1,1275
train,1,1284
train,1,1288
train,1,1292
train,1,1324
train,1,1334
train,1,1344
train,1,1368
train,1,1377
train,1,1378
train,1,1384
train,1,1392
train,1,1393
train,1,1420
train,1,1423
train,1,1427
train,1,1428
train,1,1430
train,1,1458
train,1,1459
train,1,1473
train,1,1491
train,1,1492
train,1,1514
train,1,1532
train,1,1540
train,1,1591
train,1,1603
train,1,1605
train,1,1606
train,1,1607
train,1,1658
train,1,1659
train,1,1660
train,1,1663
train,1,1688
train,1,1689
train,1,1690
train,1,1696
train,1,1720
train,1,1724
train,1,1727
train,1,1730
train,1,1732
train,1,1783
train,1,1784
train,1,1804
train,1,1808
train,1,1809
train,1,1818
train,1,1821
train,1,1822
train,1,1836
train,1,1868
train,1,1881
train,1,1882
train,1,1904
train,1,1956
train,1,1962
train,1,1972
train,1,1983
train,1,2000
train,1,2005
train,1,2011
train,1,2012
train,1,2016
train,1,2017
train,1,2036
train,1,2041
train,1,2061
train,1,2080
train,1,2083
train,1,2092
train,1,2098
train,1,2104
train,1,2106
train,1,2138
train,1,2150
train,1,2155
train,1,2169
train,1,2177
train,1,2193
train,1,2206
train,1,2208
train,1,2211
train,1,2212
train,1,2214
train,1,2215
train,1,2220
train,1,2234
train,1,2249
train,1,7
train,1,11
train,1,15
train,1,16
train,1,22
train,1,25
train,1,26
train,1,29
train,1,31
train,1,35
train,1,39
train,1,47
train,1,51
train,1,53
train,1,58
train,1,60
train,1,61
train,1,63
train,1,68
train,1,69
train,1,73
train,1,77
train,1,78
train,1,79
train,1,83
train,1,84
train,1,92
train,1,99
train,1,102
train,1,108
train,1,113
train,1,117
train,1,126
train,1,131
train,1,145
train,1,147
train,1,153
train,1,160
train,1,162
train,1,165
train,1,173
train,1,177
train,1,195
train,1,197
train,1,198
train,1,201
train,1,206
train,1,211
train,1,212
train,1,215
train,1,219
train,1,220
train,1,235
train,1,245
train,1,249
train,1,259
train,1,268
train,1,269
train,1,270
train,1,273
train,1,277
train,1,278
train,1,288
train,1,308
train,1,311
train,1,314
train,1,326
train,1,329
train,1,330
train,1,338
train,1,339
train,1,348
train,1,356
train,1,362
train,1,363
train,1,364
train,1,372
train,1,384
train,1,391
train,1,392
train,1,399
train,1,401
train,1,407
train,1,417
train,1,418
train,1,421
train,1,426
train,1,428
train,1,429
train,1,430
train,1,434
train,1,435
train,1,437
train,1,438
train,1,441
train,1,447
train,1,449
train,1,453
train,1,455
train,1,464
train,1,469
train,1,473
train,1,476
train,1,480
train,1,525
train,1,541
train,1,559
train,1,560
train,1,563
train,1,564
train,1,566
train,1,579
train,1,580
train,1,590
train,1,604
