set,iteration,row_id
train,1,2
train,1,7
train,1,8
train,1,10
train,1,11
train,1,16
train,1,20
train,1,21
train,1,26
train,1,31
train,1,36
train,1,39
train,1,40
train,1,43
train,1,44
train,1,48
train,1,52
train,1,53
train,1,54
train,1,56
train,1,57
train,1,58
train,1,63
train,1,66
train,1,67
train,1,72
train,1,75
train,1,79
train,1,81
train,1,87
train,1,89
train,1,93
train,1,95
train,1,101
train,1,104
train,1,107
train,1,109
train,1,112
train,1,114
train,1,115
train,1,119
train,1,120
train,1,124
train,1,125
train,1,127
train,1,141
train,1,146
train,1,147
train,1,148
train,1,152
train,1,157
train,1,169
train,1,170
train,1,175
train,1,176
train,1,50
train,1,103
train,1,116
train,1,150
train,1,3
train,1,5
train,1,14
train,1,18
train,1,19
train,1,24
train,1,28
train,1,30
train,1,32
train,1,34
train,1,41
train,1,45
train,1,47
train,1,49
train,1,61
train,1,64
train,1,65
train,1,68
train,1,70
train,1,73
train,1,74
train,1,76
train,1,77
train,1,78
train,1,83
train,1,85
train,1,91
train,1,92
train,1,94
train,1,97
train,1,98
train,1,99
train,1,102
train,1,110
train,1,113
train,1,117
train,1,121
train,1,122
train,1,128
train,1,131
train,1,132
train,1,133
train,1,134
train,1,143
train,1,144
train,1,153
train,1,154
train,1,155
train,1,156
train,1,158
train,1,159
train,1,160
train,1,161
train,1,165
train,1,168
train,1,136
train,1,137
train,1,171
train,2,1
train,2,4
train,2,6
train,2,9
train,2,12
train,2,13
train,2,15
train,2,17
train,2,22
train,2,23
train,2,25
train,2,27
train,2,29
train,2,33
train,2,35
train,2,37
train,2,38
train,2,46
train,2,51
train,2,55
train,2,59
train,2,60
train,2,62
train,2,69
train,2,71
train,2,80
train,2,82
train,2,84
train,2,86
train,2,88
train,2,90
train,2,96
train,2,100
train,2,105
train,2,106
train,2,108
train,2,111
train,2,118
train,2,123
train,2,126
train,2,129
train,2,130
train,2,135
train,2,138
train,2,139
train,2,140
train,2,142
train,2,145
train,2,149
train,2,151
train,2,162
train,2,163
train,2,164
train,2,167
train,2,172
train,2,42
train,2,166
train,2,173
train,2,174
train,2,3
train,2,5
train,2,14
train,2,18
train,2,19
train,2,24
train,2,28
train,2,30
train,2,32
train,2,34
train,2,41
train,2,45
train,2,47
train,2,49
train,2,61
train,2,64
train,2,65
train,2,68
train,2,70
train,2,73
train,2,74
train,2,76
train,2,77
train,2,78
train,2,83
train,2,85
train,2,91
train,2,92
train,2,94
train,2,97
train,2,98
train,2,99
train,2,102
train,2,110
train,2,113
train,2,117
train,2,121
train,2,122
train,2,128
train,2,131
train,2,132
train,2,133
train,2,134
train,2,143
train,2,144
train,2,153
train,2,154
train,2,155
train,2,156
train,2,158
train,2,159
train,2,160
train,2,161
train,2,165
train,2,168
train,2,136
train,2,137
train,2,171
train,3,1
train,3,4
train,3,6
train,3,9
train,3,12
train,3,13
train,3,15
train,3,17
train,3,22
train,3,23
train,3,25
train,3,27
train,3,29
train,3,33
train,3,35
train,3,37
train,3,38
train,3,46
train,3,51
train,3,55
train,3,59
train,3,60
train,3,62
train,3,69
train,3,71
train,3,80
train,3,82
train,3,84
train,3,86
train,3,88
train,3,90
train,3,96
train,3,100
train,3,105
train,3,106
train,3,108
train,3,111
train,3,118
train,3,123
train,3,126
train,3,129
train,3,130
train,3,135
train,3,138
train,3,139
train,3,140
train,3,142
train,3,145
train,3,149
train,3,151
train,3,162
train,3,163
train,3,164
train,3,167
train,3,172
train,3,42
train,3,166
train,3,173
train,3,174
train,3,2
train,3,7
train,3,8
train,3,10
train,3,11
train,3,16
train,3,20
train,3,21
train,3,26
train,3,31
train,3,36
train,3,39
train,3,40
train,3,43
train,3,44
train,3,48
train,3,52
train,3,53
train,3,54
train,3,56
train,3,57
train,3,58
train,3,63
train,3,66
train,3,67
train,3,72
train,3,75
train,3,79
train,3,81
train,3,87
train,3,89
train,3,93
train,3,95
train,3,101
train,3,104
train,3,107
train,3,109
train,3,112
train,3,114
train,3,115
train,3,119
train,3,120
train,3,124
train,3,125
train,3,127
train,3,141
train,3,146
train,3,147
train,3,148
train,3,152
train,3,157
train,3,169
train,3,170
train,3,175
train,3,176
train,3,50
