set,iteration,row_id
train,1,1
train,1,3
train,1,5
train,1,11
train,1,19
train,1,24
train,1,29
train,1,30
train,1,31
train,1,39
train,1,40
train,1,45
train,1,47
train,1,48
train,1,52
train,1,56
train,1,62
train,1,68
train,1,70
train,1,71
train,1,72
train,1,73
train,1,77
train,1,79
train,1,80
train,1,81
train,1,82
train,1,86
train,1,89
train,1,91
train,1,96
train,1,103
train,1,104
train,1,105
train,1,106
train,1,109
train,1,114
train,1,121
train,1,128
train,1,139
train,1,146
train,1,149
train,1,151
train,1,153
train,1,154
train,1,158
train,1,161
train,1,164
train,1,165
train,1,169
train,1,178
train,1,186
train,1,187
train,1,189
train,1,193
train,1,196
train,1,198
train,1,200
train,1,201
train,1,206
train,1,208
train,1,212
train,1,213
train,1,216
train,1,218
train,1,221
train,1,228
train,1,229
train,1,230
train,1,232
train,1,238
train,1,239
train,1,244
train,1,246
train,1,249
train,1,253
train,1,256
train,1,258
train,1,264
train,1,265
train,1,266
train,1,271
train,1,272
train,1,273
train,1,278
train,1,283
train,1,285
train,1,286
train,1,288
train,1,296
train,1,302
train,1,304
train,1,310
train,1,312
train,1,319
train,1,320
train,1,322
train,1,324
train,1,325
train,1,330
train,1,332
train,1,334
train,1,337
train,1,342
train,1,343
train,1,348
train,1,349
train,1,350
train,1,357
train,1,360
train,1,363
train,1,365
train,1,367
train,1,371
train,1,376
train,1,378
train,1,380
train,1,383
train,1,386
train,1,388
train,1,390
train,1,400
train,1,401
train,1,404
train,1,405
train,1,408
train,1,411
train,1,413
train,1,415
train,1,416
train,1,418
train,1,424
train,1,425
train,1,429
train,1,431
train,1,433
train,1,435
train,1,439
train,1,443
train,1,444
train,1,448
train,1,449
train,1,451
train,1,452
train,1,453
train,1,454
train,1,460
train,1,461
train,1,465
train,1,468
train,1,470
train,1,471
train,1,473
train,1,481
train,1,493
train,1,494
train,1,495
train,1,498
train,1,508
train,1,517
train,1,519
train,1,520
train,1,521
train,1,522
train,1,523
train,1,527
train,1,530
train,1,532
train,1,537
train,1,549
train,1,550
train,1,555
train,1,557
train,1,559
train,1,562
train,1,563
train,1,568
train,1,569
train,1,572
train,1,577
train,1,580
train,1,582
train,1,586
train,1,587
train,1,589
train,1,591
train,1,594
train,1,596
train,1,598
train,1,599
train,1,603
train,1,605
train,1,606
train,1,611
train,1,615
train,1,618
train,1,621
train,1,625
train,1,627
train,1,628
train,1,629
train,1,634
train,1,637
train,1,648
train,1,649
train,1,650
train,1,651
train,1,655
train,1,657
train,1,658
train,1,663
train,1,672
train,1,675
train,1,676
train,1,677
train,1,679
train,1,682
train,1,683
train,1,687
train,1,694
train,1,698
train,1,703
train,1,713
train,1,714
train,1,720
train,1,721
train,1,724
train,1,725
train,1,727
train,1,736
train,1,737
train,1,738
train,1,739
train,1,740
train,1,742
train,1,746
train,1,749
train,1,752
train,1,753
train,1,754
train,1,756
train,1,769
train,1,776
train,1,778
train,1,782
train,1,783
train,1,790
train,1,793
train,1,794
train,1,797
train,1,798
train,1,800
train,1,802
train,1,806
train,1,807
train,1,810
train,1,812
train,1,814
train,1,815
train,1,822
train,1,824
train,1,828
train,1,833
train,1,836
train,1,838
train,1,840
train,1,841
train,1,846
train,1,847
train,1,853
train,1,855
train,1,856
train,1,857
train,1,860
train,1,863
train,1,866
train,1,873
train,1,879
train,1,880
train,1,881
train,1,882
train,1,889
train,1,890
train,1,892
train,1,896
train,1,900
train,1,902
train,1,903
train,1,910
train,1,911
train,1,921
train,1,924
train,1,926
train,1,928
train,1,929
train,1,942
train,1,946
train,1,948
train,1,949
train,1,951
train,1,955
train,1,958
train,1,961
train,1,964
train,1,970
train,1,971
train,1,973
train,1,977
train,1,978
train,1,980
train,1,983
train,1,986
train,1,987
train,1,988
train,1,990
train,1,992
train,1,1006
train,1,1007
train,1,1008
train,1,1011
train,1,1012
train,1,1013
train,1,1016
train,1,1026
train,1,1034
train,1,1035
train,1,1040
train,1,1041
train,1,1049
train,1,1052
train,1,1054
train,1,1060
train,1,1061
train,1,1062
train,1,1069
train,1,1077
train,1,1079
train,1,1088
train,1,1097
train,1,1102
train,1,1111
train,1,1115
train,1,1120
train,1,1125
train,1,1128
train,1,1130
train,1,1131
train,1,1133
train,1,1134
train,1,1137
train,1,1139
train,1,1141
train,1,1149
train,1,1151
train,1,1156
train,1,1157
train,1,1165
train,1,1166
train,1,1167
train,1,1175
train,1,1176
train,1,1180
train,1,1185
train,1,1187
train,1,1189
train,1,1192
train,1,1197
train,1,1198
train,1,1200
train,1,1207
train,1,1210
train,1,1211
train,1,1213
train,1,1216
train,1,1221
train,1,1224
train,1,1227
train,1,1231
train,1,1242
train,1,1245
train,1,1246
train,1,1249
train,1,1252
train,1,1263
train,1,1266
train,1,1268
train,1,1270
train,1,1275
train,1,1279
train,1,1293
train,1,1294
train,1,1295
train,1,1296
train,1,1301
train,1,1303
train,1,1316
train,1,1317
train,1,1319
train,1,1320
train,1,1325
train,1,1326
train,1,1335
train,1,1342
train,1,1349
train,1,1356
train,1,1358
train,1,1360
train,1,1369
train,1,1371
train,1,1373
train,1,1374
train,1,1375
train,1,1378
train,1,1379
train,1,1380
train,1,1384
train,1,1391
train,1,1399
train,1,1404
train,1,1406
train,1,1407
train,1,1410
train,1,1414
train,1,1415
train,1,1417
train,1,1425
train,1,1426
train,1,1435
train,1,1439
train,1,1440
train,1,1442
train,1,1444
train,1,1445
train,1,1447
train,1,1448
train,1,1450
train,1,1453
train,1,1455
train,1,1460
train,1,1462
train,1,1463
train,1,1464
train,1,1472
train,1,1475
train,1,1479
train,1,1481
train,1,1485
train,1,1488
train,1,1489
train,1,1494
train,1,1498
train,1,1500
train,1,1501
train,1,1502
train,1,1505
train,1,1507
train,1,1514
train,1,1524
train,1,1526
train,1,1528
train,1,1532
train,1,1537
train,1,1541
train,1,1542
train,1,1550
train,1,1551
train,1,1558
train,1,1560
train,1,1562
train,1,1563
train,1,1564
train,1,1565
train,1,1566
train,1,1567
train,1,1569
train,1,1571
train,1,1575
train,1,1578
train,1,1580
train,1,1588
train,1,1590
train,1,1592
train,1,1593
train,1,1598
train,1,1599
train,1,1603
train,1,1606
train,1,1609
train,1,1610
train,1,1612
train,1,1618
train,1,1619
train,1,1623
train,1,1625
train,1,1627
train,1,1632
train,1,1636
train,1,1644
train,1,1645
train,1,1649
train,1,1652
train,1,1653
train,1,1657
train,1,1662
train,1,1664
train,1,1666
train,1,1667
train,1,1669
train,1,1670
train,1,1672
train,1,1673
train,1,1685
train,1,1686
train,1,1689
train,1,1692
train,1,1699
train,1,1702
train,1,1705
train,1,1706
train,1,1707
train,1,1710
train,1,1711
train,1,1713
train,1,1714
train,1,1719
train,1,1723
train,1,1724
train,1,1732
train,1,1738
train,1,1740
train,1,1741
train,1,1742
train,1,1750
train,1,1751
train,1,1752
train,1,1757
train,1,1760
train,1,1764
train,1,1767
train,1,1769
train,1,1773
train,1,1776
train,1,1780
train,1,1785
train,1,1786
train,1,1788
train,1,1799
train,1,1802
train,1,1806
train,1,1809
train,1,1810
train,1,1813
train,1,1822
train,1,1826
train,1,1827
train,1,1829
train,1,1830
train,1,1835
train,1,1839
train,1,1847
train,1,1848
train,1,1851
train,1,1852
train,1,1854
train,1,1858
train,1,1859
train,1,1864
train,1,1866
train,1,1869
train,1,1877
train,1,1879
train,1,1884
train,1,1886
train,1,1890
train,1,1891
train,1,1893
train,1,1896
train,1,1900
train,1,1906
train,1,1908
train,1,1910
train,1,1925
train,1,1928
train,1,1931
train,1,1938
train,1,1941
train,1,1945
train,1,1946
train,1,1953
train,1,1957
train,1,1958
train,1,1959
train,1,1960
train,1,1965
train,1,1967
train,1,1968
train,1,1987
train,1,1988
train,1,1990
train,1,1992
train,1,1994
train,1,1998
train,1,2000
train,1,2011
train,1,2016
train,1,2018
train,1,2019
train,1,2022
train,1,2024
train,1,2030
train,1,2032
train,1,2042
train,1,2054
train,1,2055
train,1,2056
train,1,2057
train,1,2058
train,1,2059
train,1,2062
train,1,2067
train,1,2079
train,1,2087
train,1,2089
train,1,2091
train,1,2093
train,1,2094
train,1,2098
train,1,2101
train,1,2111
train,1,2113
train,1,2115
train,1,2121
train,1,2122
train,1,2126
train,1,2139
train,1,2146
train,1,2147
train,1,2153
train,1,2156
train,1,2159
train,1,2165
train,1,2166
train,1,2167
train,1,2170
train,1,2174
train,1,2176
train,1,2177
train,1,2180
train,1,2182
train,1,2186
train,1,2187
train,1,2190
train,1,2191
train,1,2192
train,1,2196
train,1,2197
train,1,2198
train,1,2201
train,1,2205
train,1,2207
train,1,2208
train,1,2225
train,1,2227
train,1,2228
train,1,2229
train,1,2230
train,1,2233
train,1,2237
train,1,2238
train,1,2240
train,1,2241
train,1,2243
train,1,2244
train,1,2245
train,1,2247
train,1,2249
train,1,2257
train,1,2262
train,1,2265
train,1,2266
train,1,2274
train,1,2283
train,1,2290
train,1,2291
train,1,2294
train,1,2302
train,1,2307
train,1,2310
train,1,2316
train,1,2321
train,1,2322
train,1,2323
train,1,2325
train,1,2326
train,1,2327
train,1,2328
train,1,2329
train,1,2330
train,1,2331
train,1,2333
train,1,2335
train,1,2338
train,1,2340
train,1,2346
train,1,2347
train,1,2351
train,1,2356
train,1,2360
train,1,2371
train,1,2376
train,1,2379
train,1,2382
train,1,2385
train,1,2388
train,1,2390
train,1,2393
train,1,2395
train,1,2400
train,1,2403
train,1,2405
train,1,2414
train,1,2417
train,1,2422
train,1,2424
train,1,2425
train,1,2430
train,1,2431
train,1,2434
train,1,2435
train,1,2437
train,1,2438
train,1,2442
train,1,2444
train,1,2446
train,1,2448
train,1,2449
train,1,2450
train,1,2452
train,1,2458
train,1,2460
train,1,2461
train,1,2473
train,1,2479
train,1,2484
train,1,2486
train,1,2493
train,1,2494
train,1,2495
train,1,2498
train,1,2499
train,1,2507
train,1,2508
train,1,2511
train,1,2516
train,1,2522
train,1,2524
train,1,2527
train,1,2532
train,1,2540
train,1,2546
train,1,2548
train,1,2552
train,1,2554
train,1,2559
train,1,2560
train,1,2561
train,1,2562
train,1,2573
train,1,2574
train,1,2577
train,1,2579
train,1,2582
train,1,2588
train,1,2589
train,1,2597
train,1,2600
train,1,2601
train,1,2608
train,1,2612
train,1,2614
train,1,2616
train,1,2619
train,1,2625
train,1,2626
train,1,2627
train,1,2628
train,1,2634
train,1,2636
train,1,2638
train,1,2645
train,1,2646
train,1,2647
train,1,2648
train,1,2649
train,1,2657
train,1,2663
train,1,2664
train,1,2666
train,1,2667
train,1,2669
train,1,2672
train,1,2675
train,1,2680
train,1,2687
train,1,2691
train,1,2692
train,1,2695
train,1,2697
train,1,2699
train,1,2700
train,1,2702
train,1,2703
train,1,2707
train,1,2710
train,1,2716
train,1,2717
train,1,2719
train,1,2721
train,1,2722
train,1,2723
train,1,2726
train,1,2730
train,1,2735
train,1,2746
train,1,2750
train,1,2753
train,1,2759
train,1,2762
train,1,2763
train,1,2766
train,1,2768
train,1,2769
train,1,2777
train,1,2779
train,1,2780
train,1,2781
train,1,2787
train,1,2789
train,1,2791
train,1,2798
train,1,2801
train,1,2803
train,1,2804
train,1,2809
train,1,2810
train,1,2812
train,1,2813
train,1,2815
train,1,2821
train,1,2823
train,1,2827
train,1,2828
train,1,2834
train,1,2845
train,1,2848
train,1,2849
train,1,2851
train,1,2853
train,1,2855
train,1,2861
train,1,2864
train,1,2865
train,1,2868
train,1,2869
train,1,2873
train,1,2887
train,1,2891
train,1,2892
train,1,2894
train,1,2895
train,1,2899
train,1,2905
train,1,2910
train,1,2915
train,1,2916
train,1,2917
train,1,2920
train,1,2921
train,1,2923
train,1,2934
train,1,2942
train,1,2943
train,1,2948
train,1,2949
train,1,2950
train,1,2952
train,1,2955
train,1,2960
train,1,2962
train,1,2968
train,1,2969
train,1,2983
train,1,2984
train,1,2987
train,1,2989
train,1,2992
train,1,2994
train,1,2998
train,1,3008
train,1,3019
train,1,3023
train,1,3024
train,1,3025
train,1,3029
train,1,3030
train,1,3032
train,1,3039
train,1,3040
train,1,3042
train,1,3049
train,1,3050
train,1,3055
train,1,3057
train,1,3060
train,1,3066
train,1,3070
train,1,3072
train,1,3073
train,1,3075
train,1,3079
train,1,3086
train,1,3100
train,1,3101
train,1,3102
train,1,3108
train,1,3109
train,1,3110
train,1,3114
train,1,3115
train,1,3118
train,1,3126
train,1,3127
train,1,3129
train,1,3130
train,1,3134
train,1,3135
train,1,3137
train,1,3141
train,1,3142
train,1,3145
train,1,3149
train,1,3153
train,1,3155
train,1,3157
train,1,3158
train,1,3162
train,1,3164
train,1,3166
train,1,3167
train,1,3168
train,1,3171
train,1,3172
train,1,3178
train,1,3180
train,1,3191
train,1,3193
train,1,3195
train,1,3205
train,1,3210
train,1,3212
train,1,3220
train,1,3226
train,1,3228
train,1,3235
train,1,3238
train,1,3240
train,1,3241
train,1,3242
train,1,3247
train,1,3251
train,1,3267
train,1,3276
train,1,3279
train,1,3287
train,1,3288
train,1,3301
train,1,3305
train,1,3312
train,1,3313
train,1,3318
train,1,3319
train,1,3324
train,1,3326
train,1,3327
train,1,3328
train,1,3330
train,1,3335
train,1,3336
train,1,3337
train,1,3338
train,1,3341
train,1,3342
train,1,3343
train,1,3344
train,1,3351
train,1,3352
train,1,3356
train,1,3358
train,1,3366
train,1,3367
train,1,3368
train,1,3372
train,1,3378
train,1,3384
train,1,3385
train,1,3387
train,1,3392
train,1,3395
train,1,3397
train,1,3398
train,1,3399
train,1,3400
train,1,3402
train,1,3414
train,1,3418
train,1,3420
train,1,3421
train,1,3424
train,1,3428
train,1,3436
train,1,3439
train,1,3441
train,1,3442
train,1,3447
train,1,3452
train,1,3457
train,1,3459
train,1,3465
train,1,3467
train,1,3468
train,1,3469
train,1,3470
train,1,3472
train,1,3475
train,1,3476
train,1,3477
train,1,3479
train,1,3480
train,1,3481
train,1,3485
train,1,3489
train,1,3491
train,1,3494
train,1,3495
train,1,3503
train,1,3506
train,1,3519
train,1,3520
train,1,3525
train,1,3530
train,1,3543
train,1,3547
train,1,3552
train,1,3553
train,1,3554
train,1,3556
train,1,3557
train,1,3558
train,1,3561
train,1,3565
train,1,3571
train,1,3579
train,1,3581
train,1,3584
train,1,3587
train,1,3591
train,1,3597
train,1,3598
train,1,3599
train,1,3600
train,1,3605
train,1,3606
train,1,3608
train,1,3609
train,1,3611
train,1,3620
train,1,3624
train,1,3625
train,1,3627
train,1,3628
train,1,3632
train,1,3634
train,1,3638
train,1,3641
train,1,3642
train,1,3647
train,1,3649
train,1,3650
train,1,3653
train,1,3654
train,1,3655
train,1,3656
train,1,3661
train,1,3662
train,1,3667
train,1,3668
train,1,3669
train,1,3674
train,1,3676
train,1,3678
train,1,3680
train,1,3681
train,1,3684
train,1,3685
train,1,3691
train,1,3695
train,1,3698
train,1,3701
train,1,3702
train,1,3704
train,1,3710
train,1,3714
train,1,3716
train,1,3717
train,1,3718
train,1,3722
train,1,3723
train,1,3724
train,1,3732
train,1,3737
train,1,3745
train,1,3748
train,1,3754
train,1,3755
train,1,3760
train,1,3762
train,1,3767
train,1,3768
train,1,3771
train,1,3778
train,1,3780
train,1,3781
train,1,3782
train,1,3784
train,1,3789
train,1,3790
train,1,3791
train,1,3792
train,1,3797
train,1,3804
train,1,3807
train,1,3808
train,1,3809
train,1,3810
train,1,3812
train,1,3816
train,1,3818
train,1,3821
train,1,3823
train,1,3824
train,1,3829
train,1,3830
train,1,3833
train,1,3841
train,1,3845
train,1,3847
train,1,3850
train,1,3851
train,1,3855
train,1,3856
train,1,3860
train,1,3867
train,1,3870
train,1,3879
train,1,3882
train,1,3886
train,1,3887
train,1,3889
train,1,3890
train,1,3891
train,1,3892
train,1,3895
train,1,3896
train,1,3906
train,1,3913
train,1,3915
train,1,3917
train,1,3922
train,1,3925
train,1,3926
train,1,3934
train,1,3937
train,1,3939
train,1,3940
train,1,3943
train,1,3945
train,1,3949
train,1,3951
train,1,3953
train,1,3955
train,1,3961
train,1,3963
train,1,3965
train,1,3966
train,1,3967
train,1,3977
train,1,3978
train,1,3983
train,1,3985
train,1,3990
train,1,3997
train,1,4004
train,1,4010
train,1,4018
train,1,4020
train,1,4021
train,1,4023
train,1,4024
train,1,4025
train,1,4029
train,1,4031
train,1,4032
train,1,4035
train,1,4038
train,1,4040
train,1,4041
train,1,4044
train,1,4049
train,1,4052
train,1,4056
train,1,4058
train,1,4060
train,1,4063
train,1,4065
train,1,4070
train,1,4078
train,1,4079
train,1,4081
train,1,4089
train,1,4090
train,1,4094
train,1,4102
train,1,4103
train,1,4111
train,1,4114
train,1,4115
train,1,4116
train,1,4119
train,1,4120
train,1,4122
train,1,4127
train,1,4129
train,1,4130
train,1,4135
train,1,4137
train,1,4139
train,1,4143
train,1,4144
train,1,4152
train,1,4153
train,1,4155
train,1,4158
train,1,4160
train,1,4163
train,1,4164
train,1,4166
train,1,4170
train,1,4171
train,1,4172
train,1,4174
train,1,4180
train,1,4182
train,1,4183
train,1,4184
train,1,4187
train,1,4188
train,1,4193
train,1,4198
train,1,4199
train,1,4200
train,1,4204
train,1,4208
train,1,4210
train,1,4212
train,1,4213
train,1,4214
train,1,4216
train,1,4223
train,1,4224
train,1,4227
train,1,4232
train,1,4237
train,1,4239
train,1,4242
train,1,4245
train,1,4246
train,1,4247
train,1,4248
train,1,4252
train,1,4253
train,1,4255
train,1,4263
train,1,4264
train,1,4274
train,1,4280
train,1,4282
train,1,4284
train,1,4291
train,1,4295
train,1,4297
train,1,4298
train,1,4300
train,1,4301
train,1,4306
train,1,4311
train,1,4313
train,1,4316
train,1,4319
train,1,4323
train,1,4326
train,1,4328
train,1,4330
train,1,4333
train,1,4340
train,1,4341
train,1,4342
train,1,4347
train,1,4348
train,1,4349
train,1,4353
train,1,4357
train,1,4359
train,1,4364
train,1,4373
train,1,4374
train,1,4379
train,1,4385
train,1,4389
train,1,4390
train,1,4391
train,1,4398
train,1,4399
train,1,4402
train,1,4404
train,1,4405
train,1,4408
train,1,4410
train,1,4418
train,1,4420
train,1,4424
train,1,4427
train,1,4431
train,1,4436
train,1,4448
train,1,4451
train,1,4452
train,1,4463
train,1,4467
train,1,4471
train,1,4474
train,1,4476
train,1,4479
train,1,4483
train,1,4486
train,1,4489
train,1,4491
train,1,4495
train,1,4501
train,1,4508
train,1,4514
train,1,4517
train,1,4521
train,1,4522
train,1,4526
train,1,4534
train,1,4537
train,1,4539
train,1,4542
train,1,4543
train,1,4548
train,1,4549
train,1,4554
train,1,4556
train,1,4560
train,1,4567
train,1,4579
train,1,4582
train,1,4583
train,1,4585
train,1,4597
train,1,4605
train,1,4606
train,1,4608
train,1,4610
train,1,4615
train,1,4618
train,1,4619
train,1,4624
train,1,4625
train,1,4626
train,1,4631
train,1,4636
train,1,4637
train,1,4638
train,1,4639
train,1,4641
train,1,4643
train,1,4645
train,1,4649
train,1,4654
train,1,4655
train,1,4656
train,1,4659
train,1,4664
train,1,4674
train,1,4675
train,1,4676
train,1,4680
train,1,4681
train,1,4682
train,1,4694
train,1,4698
train,1,4701
train,1,4707
train,1,4710
train,1,4712
train,1,4714
train,1,4717
train,1,4721
train,1,4723
train,1,4728
train,1,4734
train,1,4736
train,1,4737
train,1,4738
train,1,4741
train,1,4742
train,1,4745
train,1,4746
train,1,4748
train,1,4749
train,1,4756
train,1,4757
train,1,4760
train,1,4761
train,1,4763
train,1,4765
train,1,4771
train,1,4773
train,1,4774
train,1,4775
train,1,4777
train,1,4780
train,1,4781
train,1,4786
train,1,4788
train,1,4789
train,1,4791
train,1,4798
train,1,4800
train,1,4804
train,1,4805
train,1,4808
train,1,4809
train,1,4813
train,1,4815
train,1,4822
train,1,4824
train,1,4826
train,1,4827
train,1,4831
train,1,4834
train,1,4836
train,1,4838
train,1,4849
train,1,4850
train,1,4851
train,1,4855
train,1,4857
train,1,4863
train,1,4872
train,1,4877
train,1,4883
train,1,4885
train,1,4886
train,1,4888
train,1,4900
train,1,4904
train,1,4906
train,1,4913
train,1,4916
train,1,4917
train,1,4919
train,1,4921
train,1,4926
train,1,4934
train,1,4939
train,1,4940
train,1,4943
train,1,4948
train,1,4950
train,1,4954
train,1,4957
train,1,4962
train,1,4963
train,1,4964
train,1,4965
train,1,4976
train,1,4983
train,1,4996
train,1,4998
train,1,5000
train,1,5004
train,1,5005
train,1,5006
train,1,5007
train,1,5011
train,1,5012
train,1,5017
train,1,5020
train,1,5024
train,1,5026
train,1,5027
train,1,5029
train,1,5030
train,1,5032
train,1,5033
train,1,5034
train,1,5035
train,1,5038
train,1,5040
train,1,5041
train,1,5044
train,1,5045
train,1,5046
train,1,5047
train,1,5050
train,1,5054
train,1,5056
train,1,5062
train,1,5064
train,1,5067
train,1,5071
train,1,5072
train,1,5073
train,1,5074
train,1,5077
train,1,5079
train,1,5080
train,1,5082
train,1,5087
train,1,5090
train,1,5095
train,1,5096
train,1,5100
train,1,5102
train,1,5104
train,1,5109
train,1,5113
train,1,5117
train,1,5119
train,1,5120
train,1,5121
train,1,5129
train,1,5130
train,1,5133
train,1,5136
train,1,5137
train,1,5143
train,1,5146
train,1,5147
train,1,5148
train,1,5151
train,1,5157
train,1,5160
train,1,5164
train,1,5168
train,1,5172
train,1,5181
train,1,5185
train,1,5187
train,1,5188
train,1,5191
train,1,5192
train,1,5196
train,1,5197
train,1,5199
train,1,5200
train,1,5204
train,1,5205
train,1,5206
train,1,5208
train,1,5210
train,1,5213
train,1,5216
train,1,5217
train,1,5222
train,1,5223
train,1,5225
train,1,5226
train,1,5230
train,1,5232
train,1,5235
train,1,5236
train,1,5239
train,1,5245
train,1,5246
train,1,5247
train,1,5248
train,1,5262
train,1,5263
train,1,5264
train,1,5270
train,1,5274
train,1,5277
train,1,5280
train,1,5283
train,1,5291
train,1,5294
train,1,5295
train,1,5297
train,1,5305
train,1,5311
train,1,5316
train,1,5317
train,1,5324
train,1,5328
train,1,5329
train,1,5330
train,1,5333
train,1,5336
train,1,5339
train,1,5342
train,1,5349
train,1,5353
train,1,5354
train,1,5355
train,1,5358
train,1,5359
train,1,5360
train,1,5364
train,1,5368
train,1,5372
train,1,5375
train,1,5378
train,1,5380
train,1,5381
train,1,5382
train,1,5384
train,1,5389
train,1,5391
train,1,5392
train,1,5394
train,1,5395
train,1,5402
train,1,5406
train,1,5408
train,1,5410
train,1,5411
train,1,5414
train,1,5416
train,1,5421
train,1,5422
train,1,5423
train,1,5425
train,1,5426
train,1,5427
train,1,5431
train,1,5433
train,1,5437
train,1,5441
train,1,5442
train,1,5446
train,1,5450
train,1,5452
train,1,5453
train,1,5463
train,1,5468
train,1,5469
train,1,5470
train,1,5471
train,1,5473
train,1,5476
train,1,5480
train,1,5481
train,1,5485
train,1,5492
train,1,5499
train,1,5510
train,1,5512
train,1,5514
train,1,5521
train,1,5524
train,1,5526
train,1,5537
train,1,5539
train,1,5542
train,1,5543
train,1,5545
train,1,5546
train,1,5550
train,1,5553
train,1,5555
train,1,5557
train,1,5559
train,1,5560
train,1,5561
train,1,5562
train,1,5569
train,1,5574
train,1,5597
train,1,5602
train,1,5606
train,1,5609
train,1,5611
train,1,5615
train,1,5622
train,1,5627
train,1,5628
train,1,5629
train,1,5637
train,1,5638
train,1,5640
train,1,5642
train,1,5647
train,1,5651
train,1,5657
train,1,5659
train,1,5663
train,1,5668
train,1,5669
train,1,5670
train,1,5673
train,1,5677
train,1,5680
train,1,5681
train,1,5683
train,1,5684
train,1,5689
train,1,5695
train,1,5700
train,1,5704
train,1,5709
train,1,5712
train,1,5715
train,1,5717
train,1,5723
train,1,5724
train,1,5727
train,1,5735
train,1,5736
train,1,5740
train,1,5742
train,1,5746
train,1,5749
train,1,5751
train,1,5752
train,1,5754
train,1,5755
train,1,5758
train,1,5763
train,1,5773
train,1,5784
train,1,5785
train,1,5790
train,1,5792
train,1,5794
train,1,5795
train,1,5796
train,1,5797
train,1,5799
train,1,5802
train,1,5804
train,1,5809
train,1,5812
train,1,5814
train,1,5817
train,1,5818
train,1,5821
train,1,5822
train,1,5824
train,1,5825
train,1,5826
train,1,5827
train,1,5831
train,1,5836
train,1,5840
train,1,5841
train,1,5842
train,1,5845
train,1,5846
train,1,5851
train,1,5852
train,1,5854
train,1,5856
train,1,5860
train,1,5864
train,1,5866
train,1,5878
train,1,5889
train,1,5895
train,1,5896
train,1,5897
train,1,5898
train,1,5902
train,1,5908
train,1,5915
train,1,5918
train,1,5919
train,1,5922
train,1,5923
train,1,5930
train,1,5934
train,1,5936
train,1,5945
train,1,5946
train,1,5948
train,1,5950
train,1,5954
train,1,5956
train,1,5957
train,1,5958
train,1,5961
train,1,5966
train,1,5967
train,1,5968
train,1,5969
train,1,5977
train,1,5980
train,1,5981
train,1,5982
train,1,5985
train,1,5986
train,1,5987
train,1,5988
train,1,5996
train,1,6003
train,1,6005
train,1,6014
train,1,6018
train,1,6031
train,1,6041
train,1,6045
train,1,6046
train,1,6050
train,1,6053
train,1,6055
train,1,6059
train,1,6063
train,1,6064
train,1,6067
train,1,6068
train,1,6071
train,1,6076
train,1,6081
train,1,6086
train,1,6092
train,1,6094
train,1,6097
train,1,6107
train,1,6113
train,1,6114
train,1,6115
train,1,6121
train,1,6123
train,1,6124
train,1,6133
train,1,6134
train,1,6136
train,1,6141
train,1,6144
train,1,6145
train,1,6151
train,1,6152
train,1,6155
train,1,6163
train,1,6173
train,1,6174
train,1,6176
train,1,6186
train,1,6189
train,1,6191
train,1,6200
train,1,6208
train,1,6209
train,1,6210
train,1,6212
train,1,6213
train,1,6219
train,1,6220
train,1,6221
train,1,6224
train,1,6225
train,1,6231
train,1,6233
train,1,6236
train,1,6238
train,1,6246
train,1,6249
train,1,6258
train,1,6262
train,1,6264
train,1,6273
train,1,6276
train,1,6280
train,1,6282
train,1,6285
train,1,6287
train,1,6289
train,1,6291
train,1,6298
train,1,6302
train,1,6306
train,1,6307
train,1,6318
train,1,6320
train,1,6324
train,1,6325
train,1,6331
train,1,6335
train,1,6340
train,1,6342
train,1,6345
train,1,6346
train,1,6347
train,1,6357
train,1,6358
train,1,6360
train,1,6367
train,1,6381
train,1,6382
train,1,6386
train,1,6388
train,1,6393
train,1,6395
train,1,6397
train,1,6400
train,1,6402
train,1,6405
train,1,6408
train,1,6411
train,1,6416
train,1,6421
