set,iteration,row_id
train,1,9
train,1,11
train,1,21
train,1,23
train,1,29
train,1,30
train,1,40
train,1,61
train,1,67
train,1,75
train,1,83
train,1,84
train,1,87
train,1,90
train,1,95
train,1,99
train,1,104
train,1,106
train,1,107
train,1,113
train,1,119
train,1,122
train,1,125
train,1,126
train,1,140
train,1,141
train,1,151
train,1,152
train,1,160
train,1,164
train,1,167
train,1,168
train,1,169
train,1,170
train,1,174
train,1,175
train,1,181
train,1,190
train,1,192
train,1,198
train,1,199
train,1,201
train,1,202
train,1,206
train,1,218
train,1,219
train,1,221
train,1,228
train,1,234
train,1,239
train,1,244
train,1,247
train,1,249
train,1,251
train,1,253
train,1,267
train,1,274
train,1,293
train,1,295
train,1,296
train,1,304
train,1,305
train,1,312
train,1,315
train,1,321
train,1,327
train,1,328
train,1,333
train,1,334
train,1,335
train,1,336
train,1,352
train,1,356
train,1,360
train,1,362
train,1,364
train,1,366
train,1,369
train,1,374
train,1,377
train,1,378
train,1,379
train,1,385
train,1,388
train,1,392
train,1,395
train,1,397
train,1,399
train,1,404
train,1,407
train,1,416
train,1,421
train,1,425
train,1,427
train,1,428
train,1,430
train,1,431
train,1,436
train,1,442
train,1,449
train,1,451
train,1,453
train,1,455
train,1,461
train,1,475
train,1,476
train,1,490
train,1,493
train,1,495
train,1,499
train,1,501
train,1,506
train,1,509
train,1,510
train,1,514
train,1,515
train,1,519
train,1,520
train,1,526
train,1,532
train,1,533
train,1,537
train,1,550
train,1,556
train,1,557
train,1,558
train,1,569
train,1,573
train,1,580
train,1,586
train,1,587
train,1,610
train,1,615
train,1,623
train,1,629
train,1,632
train,1,640
train,1,649
train,1,653
train,1,654
train,1,660
train,1,664
train,1,675
train,1,680
train,1,686
train,1,689
train,1,690
train,1,691
train,1,693
train,1,695
train,1,702
train,1,718
train,1,722
train,1,729
train,1,737
train,1,748
train,1,749
train,1,753
train,1,759
train,1,773
train,1,775
train,1,788
train,1,792
train,1,793
train,1,799
train,1,800
train,1,809
train,1,818
train,1,824
train,1,825
train,1,831
train,1,838
train,1,844
train,1,855
train,1,859
train,1,869
train,1,871
train,1,14
train,1,34
train,1,35
train,1,37
train,1,38
train,1,42
train,1,50
train,1,55
train,1,85
train,1,86
train,1,91
train,1,100
train,1,105
train,1,111
train,1,120
train,1,127
train,1,130
train,1,134
train,1,135
train,1,148
train,1,158
train,1,161
train,1,184
train,1,188
train,1,214
train,1,229
train,1,230
train,1,237
train,1,238
train,1,259
train,1,261
train,1,266
train,1,278
train,1,282
train,1,285
train,1,299
train,1,306
train,1,309
train,1,317
train,1,318
train,1,324
train,1,326
train,1,337
train,1,340
train,1,341
train,1,344
train,1,351
train,1,371
train,1,372
train,1,390
train,1,393
train,1,394
train,1,405
train,1,408
train,1,418
train,1,423
train,1,438
train,1,445
train,1,469
train,1,477
train,1,480
train,1,487
train,1,489
train,1,492
train,1,507
train,1,517
train,1,524
train,1,527
train,1,536
train,1,545
train,1,554
train,1,563
train,1,565
train,1,575
train,1,578
train,1,589
train,1,598
train,1,603
train,1,607
train,1,609
train,1,620
train,1,635
train,1,637
train,1,641
train,1,647
train,1,650
train,1,652
train,1,655
train,1,656
train,1,661
train,1,667
train,1,678
train,1,687
train,1,694
train,1,696
train,1,704
train,1,706
train,1,717
train,1,726
train,1,728
train,1,734
train,1,739
train,1,746
train,1,747
train,1,769
train,1,782
train,1,783
train,1,808
train,1,810
train,1,815
train,1,828
train,1,829
train,1,835
train,1,853
train,1,854
train,1,865
train,1,1
train,1,2
train,1,6
train,1,15
train,1,17
train,1,22
train,1,26
train,1,27
train,1,32
train,1,33
train,1,36
train,1,39
train,1,43
train,1,44
train,1,47
train,1,52
train,1,59
train,1,60
train,1,65
train,1,68
train,1,71
train,1,74
train,1,82
train,1,89
train,1,94
train,1,96
train,1,114
train,1,129
train,1,132
train,1,139
train,1,144
train,1,149
train,1,150
train,1,155
train,1,156
train,1,176
train,1,179
train,1,186
train,1,187
train,1,191
train,1,193
train,1,203
train,1,210
train,1,213
train,1,220
train,1,222
train,1,223
train,1,224
train,1,225
train,1,231
train,1,232
train,1,236
train,1,241
train,1,243
train,1,255
train,1,258
train,1,260
train,1,263
train,1,273
train,1,275
train,1,276
train,1,286
train,1,287
train,1,290
train,1,292
train,1,298
train,1,301
train,1,302
train,1,303
train,1,310
train,1,313
train,1,329
train,1,330
train,1,343
train,1,346
train,1,353
train,1,357
train,1,367
train,1,384
train,1,398
train,1,400
train,1,413
train,1,419
train,1,422
train,1,424
train,1,426
train,1,432
train,1,433
train,1,434
train,1,444
train,1,446
train,1,452
