set,iteration,row_id
train,1,7
train,1,20
train,1,23
train,1,51
train,1,62
train,1,66
train,1,69
train,1,73
train,1,75
train,1,78
train,1,80
train,1,85
train,1,92
train,1,99
train,1,107
train,1,114
train,1,115
train,1,122
train,1,124
train,1,126
train,1,141
train,1,161
train,1,167
train,1,187
train,1,194
train,1,204
train,1,205
train,1,207
train,1,218
train,1,228
train,1,238
train,1,243
train,1,246
train,1,252
train,1,258
train,1,275
train,1,300
train,1,325
train,1,326
train,1,333
train,1,338
train,1,341
train,1,344
train,1,346
train,1,350
train,1,356
train,1,358
train,1,366
train,1,372
train,1,387
train,1,392
train,1,407
train,1,423
train,1,437
train,1,443
train,1,449
train,1,455
train,1,467
train,1,475
train,1,476
train,1,479
train,1,495
train,1,497
train,1,498
train,1,508
train,1,513
train,1,535
train,1,546
train,1,549
train,1,558
train,1,564
train,1,569
train,1,570
train,1,597
train,1,603
train,1,613
train,1,619
train,1,625
train,1,639
train,1,645
train,1,666
train,1,668
train,1,677
train,1,678
train,1,683
train,1,696
train,1,703
train,1,706
train,1,712
train,1,719
train,1,728
train,1,739
train,1,744
train,1,750
train,1,751
train,1,752
train,1,755
train,1,757
train,1,763
train,1,765
train,1,771
train,1,784
train,1,787
train,1,800
train,1,812
train,1,828
train,1,830
train,1,831
train,1,833
train,1,843
train,1,850
train,1,855
train,1,864
train,1,885
train,1,892
train,1,913
train,1,937
train,1,938
train,1,947
train,1,949
train,1,955
train,1,974
train,1,976
train,1,979
train,1,981
train,1,982
train,1,985
train,1,988
train,1,991
train,1,1001
train,1,1007
train,1,1009
train,1,1011
train,1,1013
train,1,1015
train,1,1024
train,1,1030
train,1,1038
train,1,1045
train,1,1046
train,1,1049
train,1,1053
train,1,1063
train,1,1072
train,1,1081
train,1,1086
train,1,1094
train,1,1098
train,1,1099
train,1,1102
train,1,1108
train,1,1110
train,1,1125
train,1,1126
train,1,1132
train,1,1138
train,1,1146
train,1,1147
train,1,1159
train,1,1162
train,1,1164
train,1,1169
train,1,1171
train,1,1177
train,1,1178
train,1,1181
train,1,1187
train,1,1192
train,1,1209
train,1,1215
train,1,1235
train,1,1239
train,1,1241
train,1,1253
train,1,1261
train,1,1270
train,1,1275
train,1,1279
train,1,1282
train,1,1286
train,1,1288
train,1,1293
train,1,1304
train,1,1306
train,1,1316
train,1,1317
train,1,1318
train,1,1319
train,1,1321
train,1,1322
train,1,1323
train,1,1326
train,1,1328
train,1,1340
train,1,1342
train,1,1345
train,1,1357
train,1,1358
train,1,1376
train,1,1377
train,1,1384
train,1,1389
train,1,1399
train,1,1406
train,1,1407
train,1,1415
train,1,1418
train,1,1420
train,1,1428
train,1,1431
train,1,1434
train,1,1435
train,1,1436
train,1,1467
train,1,1469
train,1,1475
train,1,1492
train,1,1495
train,1,1508
train,1,1517
train,1,1520
train,1,1521
train,1,1528
train,1,1530
train,1,1531
train,1,1537
train,1,1538
train,1,1541
train,1,1546
train,1,1551
train,1,1576
train,1,1583
train,1,1588
train,1,1597
train,1,1602
train,1,1603
train,1,1606
train,1,1610
train,1,1622
train,1,1624
train,1,1627
train,1,1631
train,1,1632
train,1,1638
train,1,1643
train,1,1659
train,1,1660
train,1,1664
train,1,1677
train,1,1700
train,1,1709
train,1,1712
train,1,1717
train,1,1724
train,1,1738
train,1,1739
train,1,1766
train,1,1769
train,1,1772
train,1,1785
train,1,1797
train,1,1804
train,1,1806
train,1,1809
train,1,1813
train,1,1816
train,1,1818
train,1,1829
train,1,1833
train,1,1848
train,1,1849
train,1,1859
train,1,1869
train,1,1887
train,1,1889
train,1,1892
train,1,1893
train,1,1902
train,1,1905
train,1,1906
train,1,1907
train,1,1911
train,1,1913
train,1,1920
train,1,1923
train,1,1925
train,1,1935
train,1,1939
train,1,1953
train,1,1954
train,1,1967
train,1,1968
train,1,1981
train,1,1983
train,1,1995
train,1,1996
train,1,1999
train,1,2
train,1,5
train,1,11
train,1,35
train,1,36
train,1,45
train,1,48
train,1,53
train,1,54
train,1,56
train,1,67
train,1,70
train,1,71
train,1,77
train,1,81
train,1,84
train,1,88
train,1,89
train,1,101
train,1,109
train,1,120
train,1,129
train,1,139
train,1,140
train,1,143
train,1,147
train,1,149
train,1,154
train,1,159
train,1,160
train,1,176
train,1,179
train,1,180
train,1,189
train,1,197
