set,iteration,row_id
train,1,1
train,1,16
train,1,18
train,1,58
train,1,65
train,1,67
train,1,68
train,1,82
train,1,100
train,1,103
train,1,114
train,1,128
train,1,130
train,1,131
train,1,140
train,1,141
train,1,150
train,1,152
train,1,156
train,1,160
train,1,164
train,1,169
train,1,170
train,1,177
train,1,201
train,1,206
train,1,222
train,1,224
train,1,231
train,1,235
train,1,266
train,1,268
train,1,293
train,1,303
train,1,307
train,1,309
train,1,315
train,1,320
train,1,328
train,1,329
train,1,330
train,1,351
train,1,355
train,1,366
train,1,378
train,1,388
train,1,420
train,1,430
train,1,442
train,1,444
train,1,469
train,1,471
train,1,483
train,1,501
train,1,506
train,1,514
train,1,518
train,1,519
train,1,531
train,1,535
train,1,539
train,1,545
train,1,556
train,1,565
train,1,582
train,1,587
train,1,620
train,1,633
train,1,634
train,1,636
train,1,649
train,1,650
train,1,655
train,1,668
train,1,669
train,1,700
train,1,701
train,1,728
train,1,732
train,1,765
train,1,773
train,1,774
train,1,809
train,1,811
train,1,815
train,1,824
train,1,829
train,1,836
train,1,852
train,1,860
train,1,862
train,1,867
train,1,869
train,1,870
train,1,883
train,1,888
train,1,893
train,1,905
train,1,917
train,1,926
train,1,930
train,1,938
train,1,948
train,1,971
train,1,993
train,1,1002
train,1,1003
train,1,1004
train,1,1005
train,1,1009
train,1,1010
train,1,1011
train,1,1013
train,1,1017
train,1,1026
train,1,1034
train,1,1036
train,1,1039
train,1,7
train,1,10
train,1,11
train,1,12
train,1,27
train,1,29
train,1,34
train,1,35
train,1,38
train,1,40
train,1,47
train,1,48
train,1,51
train,1,54
train,1,55
train,1,59
train,1,60
train,1,64
train,1,66
train,1,72
train,1,80
train,1,85
train,1,89
train,1,94
train,1,95
train,1,98
train,1,102
train,1,107
train,1,112
train,1,133
train,1,135
train,1,136
train,1,146
train,1,157
train,1,168
train,1,178
train,1,179
train,1,197
train,1,200
train,1,203
train,1,207
train,1,210
train,1,225
train,1,226
train,1,227
train,1,229
train,1,234
train,1,237
train,1,238
train,1,244
train,1,250
train,1,252
train,1,267
train,1,269
train,1,270
train,1,273
train,1,279
train,1,283
train,1,284
train,1,286
train,1,289
train,1,292
train,1,295
train,1,299
train,1,304
train,1,305
train,1,306
train,1,311
train,1,319
train,1,333
train,1,335
train,1,336
train,1,346
train,1,349
train,1,352
train,1,356
train,1,359
train,1,363
train,1,365
train,1,377
train,1,381
train,1,385
train,1,389
train,1,401
train,1,403
train,1,419
train,1,426
train,1,427
train,1,428
train,1,432
train,1,434
train,1,441
train,1,443
train,1,447
train,1,448
train,1,450
train,1,452
train,1,455
train,1,457
train,1,470
train,1,484
train,1,488
train,1,489
train,1,490
train,1,492
train,1,497
train,1,499
train,1,503
train,1,509
train,1,512
train,1,515
train,1,520
train,1,528
train,1,540
train,1,541
train,1,543
train,1,547
train,1,554
train,1,555
train,1,558
train,1,566
train,1,567
train,1,570
train,1,585
train,1,593
train,1,594
train,1,597
train,1,606
train,1,607
train,1,613
train,1,614
train,1,616
train,1,617
train,1,623
train,1,629
train,1,632
train,1,637
train,1,641
train,1,644
train,1,653
train,1,658
train,1,664
train,1,667
train,1,672
train,1,673
train,1,674
train,1,676
train,1,693
train,1,695
train,1,697
train,1,699
train,1,705
train,1,707
train,1,714
train,1,716
train,1,717
train,1,723
train,1,725
train,1,742
train,1,743
train,1,746
train,1,751
train,1,757
train,1,763
