set,iteration,row_id
train,1,1
train,1,22
train,1,32
train,1,33
train,1,51
train,1,53
train,1,54
train,1,62
train,1,65
train,1,74
train,1,88
train,1,89
train,1,91
train,1,95
train,1,100
train,1,107
train,1,112
train,1,133
train,1,135
train,1,154
train,1,156
train,1,157
train,1,159
train,1,163
train,1,164
train,1,165
train,1,180
train,1,185
train,1,191
train,1,198
train,1,205
train,1,208
train,1,214
train,1,217
train,1,229
train,1,233
train,1,244
train,1,246
train,1,248
train,1,253
train,1,256
train,1,265
train,1,266
train,1,275
train,1,277
train,1,295
train,1,298
train,1,303
train,1,314
train,1,323
train,1,334
train,1,337
train,1,356
train,1,357
train,1,363
train,1,368
train,1,374
train,1,382
train,1,386
train,1,392
train,1,403
train,1,408
train,1,423
train,1,430
train,1,432
train,1,446
train,1,447
train,1,450
train,1,455
train,1,464
train,1,469
train,1,473
train,1,474
train,1,475
train,1,479
train,1,483
train,1,486
train,1,491
train,1,497
train,1,500
train,1,507
train,1,508
train,1,512
train,1,513
train,1,521
train,1,525
train,1,526
train,1,533
train,1,545
train,1,549
train,1,550
train,1,553
train,1,561
train,1,564
train,1,572
train,1,582
train,1,592
train,1,594
train,1,608
train,1,612
train,1,613
train,1,615
train,1,620
train,1,628
train,1,634
train,1,636
train,1,644
train,1,645
train,1,650
train,1,651
train,1,658
train,1,662
train,1,663
train,1,664
train,1,666
train,1,668
train,1,672
train,1,675
train,1,682
train,1,691
train,1,693
train,1,695
train,1,704
train,1,705
train,1,712
train,1,720
train,1,725
train,1,742
train,1,752
train,1,753
train,1,769
train,1,772
train,1,774
train,1,775
train,1,4
train,1,12
train,1,18
train,1,20
train,1,27
train,1,38
train,1,40
train,1,41
train,1,45
train,1,47
train,1,57
train,1,67
train,1,71
train,1,72
train,1,73
train,1,84
train,1,85
train,1,93
train,1,99
train,1,108
train,1,111
train,1,122
train,1,123
train,1,131
train,1,134
train,1,138
train,1,146
train,1,152
train,1,158
train,1,161
train,1,171
train,1,174
train,1,175
train,1,182
train,1,188
train,1,190
train,1,199
train,1,203
train,1,204
train,1,206
train,1,207
train,1,209
train,1,211
train,1,213
train,1,251
train,1,280
train,1,282
train,1,285
train,1,290
train,1,311
train,1,313
train,1,318
train,1,321
train,1,333
